iter	Passed	Remaining
729	2742	1014
730	2746	1010
731	2749	1006
732	2752	1002
733	2756	998
734	2759	995
735	2763	991
736	2766	987
737	2769	983
738	2772	979
739	2776	975
740	2779	971
741	2782	967
742	2785	963
743	2789	959
744	2792	955
745	2795	951
746	2798	947
747	2801	943
748	2804	939
749	2807	935
750	2810	931
751	2813	927
752	2817	924
753	2820	920
754	2823	916
755	2826	912
756	2829	908
757	2832	904
758	2835	900
759	2838	896
760	2842	892
761	2845	888
762	2848	884
763	2852	881
764	2856	877
765	2859	873
766	2862	869
767	2865	865
768	2868	861
769	2871	857
770	2874	853
771	2877	849
772	2880	845
773	2883	841
774	2886	837
775	2889	834
776	2892	830
777	2895	826
778	2897	822
779	2901	818
780	2904	814
781	2907	810
782	2910	806
783	2913	802
784	2916	798
785	2920	795
786	2923	791
787	2926	787
788	2929	783
789	2932	779
790	2935	775
791	2938	771
792	2942	767
793	2944	764
794	2947	760
795	2951	756
796	2954	752
797	2957	748
798	2960	744
799	2963	740
800	2966	736
801	2969	733
802	2972	729
803	2974	725
804	2978	721
805	2982	717
806	2985	713
807	2988	710
808	2992	706
809	2995	702
810	2998	698
811	3002	695
812	3005	691
813	3008	687
814	3012	683
815	3015	679
816	3018	676
817	3021	672
818	3024	668
819	3027	664
820	3030	660
821	3033	656
822	3037	653
823	3040	649
824	3042	645
825	3046	641
826	3049	637
827	3052	634
828	3055	630
829	3058	626
830	3061	622
831	3065	618
832	3068	615
833	3071	611
834	3074	607
835	3078	603
836	3081	600
837	3085	596
838	3088	592
839	3091	588
840	3095	585
841	3098	581
842	3100	577
843	3104	573
844	3107	569
845	3110	566
846	3114	562
847	3117	558
848	3120	555
849	3124	551
850	3127	547
851	3130	543
852	3133	540
853	3137	536
854	3140	532
855	3144	528
856	3147	525
857	3151	521
858	3154	517
859	3158	514
860	3161	510
861	3164	506
862	3167	502
863	3171	499
864	3175	495
865	3178	491
866	3181	488
867	3184	484
868	3187	480
869	3190	476
870	3193	473
871	3197	469
872	3200	465
873	3203	461
874	3207	458
875	3210	454
876	3213	450
877	3216	446
878	3220	443
879	3224	439
880	3227	435
881	3230	432
882	3233	428
883	3236	424
884	3240	421
885	3243	417
886	3246	413
887	3249	409
888	3253	406
889	3256	402
890	3260	398
891	3263	395
892	3266	391
893	3269	387
894	3272	383
895	3276	380
896	3279	376
897	3282	372
898	3285	369
899	3288	365
900	3292	361
901	3295	358
902	3298	354
903	3301	350
904	3305	346
905	3308	343
906	3311	339
907	3315	335
908	3322	332
909	3328	329
910	3333	325
911	3337	322
912	3342	318
913	3348	315
914	3353	311
915	3356	307
916	3360	304
917	3364	300
918	3368	296
919	3371	293
920	3374	289
921	3377	285
922	3380	282
923	3383	278
924	3386	274
925	3389	270
926	3392	267
927	3395	263
928	3398	259
929	3402	256
930	3405	252
931	3408	248
932	3411	244
933	3414	241
934	3416	237
935	3420	233
936	3422	230
937	3425	226
938	3428	222
939	3430	218
940	3434	215
941	3437	211
942	3440	207
943	3443	204
944	3446	200
945	3449	196
946	3452	193
947	3455	189
948	3458	185
949	3461	182
950	3464	178
951	3467	174
952	3470	171
953	3473	167
954	3476	163
955	3479	160
956	3482	156
957	3485	152
958	3489	149
959	3491	145
960	3495	141
961	3498	138
962	3501	134
963	3504	130
964	3508	127
965	3511	123
966	3515	119
967	3519	116
968	3523	112
969	3527	109
970	3533	105
971	3537	101
972	3540	98
973	3544	94
974	3548	90
975	3551	87
976	3554	83
977	3558	80
978	3561	76
979	3565	72
980	3568	69
981	3572	65
982	3575	61
983	3579	58
984	3582	54
985	3585	50
986	3589	47
987	3593	43
988	3597	40
989	3600	36
990	3603	32
991	3607	29
992	3611	25
993	3615	21
994	3619	18
995	3623	14
996	3627	10
997	3630	7
998	3633	3
999	3636	0
